tier_sample,estim_time,tJX,tW
PT423396430,1.551669,0.14874020239701546,0.028366403522184502
PT723474950,1.522098,0.1631687020154286,0.0370597819412137
PT123799896,1.498543,0.12435476699703074,0.025547706783989203
PT723767731,1.842538,0.13677263037789433,0.021738006511262866
PT023396456,1.5104899999999999,0.13078460543098888,0.01010215513682347
PT023802667,1.516078,0.1589177782749259,0.006954951477273536
PT723805945,1.798991,0.19091947499639567,0.04709237332412185
PT523799875,1.770194,0.12421192173755458,0.03867373423186159
PT723658015,1.6212339999999998,0.15131420011662894,0.04024723689210078
PT023805915,1.627249,0.14169782900750158,0.013685662636030592
PT023974753,1.537198,0.15241957903112377,0.045398235581656
PT223476701,2.010868,0.1617622731798844,0.04710827956346827
PT923583699,1.541587,0.16317197918178492,0.019701683089654358
PT423620929,1.606264,0.14738711324809556,0.013139234449224721
PT923966027,1.657001,0.13175254637935974,0.01758336201044732
PT523769910,1.580732,0.113729741601929,0.015167870987558686
PT123621789,1.605253,0.17427156867841537,0.058402916968504796
PT223802666,1.587943,0.14968032153007632,0.0064870440492582
PT223767729,1.787966,0.14898467580998273,0.012174686890625999
PT123769875,1.8467829999999998,0.13413923354314394,0.011364303654141214
PT423621858,1.513911,0.11526191085695539,0.01946892397162658
PT623583704,1.485265,0.16298992000212617,0.013432676054314675
PT023480600,1.602262,0.15346090965477638,0.0561886660661112
PT323474933,1.499943,0.13426246088664265,0.012712807641413583
PT523085848,1.973884,0.14296736437106883,0.048226985851970515
PT224957247,1.6086179999999999,0.15065978958065443,0.05487691229374725
PT824914674,1.561542,0.11607194247680122,0.06012708111065397
PT524987172,1.543926,0.20418862942961766,0.05031777236233581
PT733027431,1.551424,0.11730749282744266,0.028790158233280044
PT923712082,1.499443,0.14205993963860475,0.0623441847933522
PT823583722,1.530726,0.10230074821000791,0.013910316955569726
PT224513004,1.515758,0.1228914085355717,0.04890380658147435
PT024513869,1.451268,0.1456231660131608,0.02762597076186699
PT924854279,1.499295,0.1124299468712836,0.0381757805850988
PT633027441,1.523463,0.1363229733684701,0.05547495794278959
PT524148448,1.607864,0.13452057935828748,0.04229600400688705
PT633012794,1.5677210000000001,0.2158505217527602,0.08666121971262548
PT124515292,1.510326,0.11510239912571366,0.0586870435163817
PT424513003,1.561151,0.10692284568515253,0.04367593175118403
PT624513002,1.5480909999999999,0.11580021332562451,0.026818894996176807
PT523583719,1.599998,0.2639199848924464,0.11180259927494123
PT623806044,1.64032,0.1188779152064493,0.019491786515591317
PT524015264,1.547877,0.12052118750954334,0.04158038944701133
PT133012645,1.508548,0.13927583078579797,0.0653409126651008
PT624987181,1.507667,0.12556986276451396,0.0466428197301766
PT324096615,1.544719,0.12317398692826095,0.042498311334168884
PT424986494,1.5117880000000001,0.11838502681626652,0.04149055569638772
PT724513856,1.534138,0.1014507485116508,0.03299039106808124
PT124148445,1.572592,0.14614079474089647,0.04852291476529046
PT623806020,1.6295570000000001,0.11762361639733519,0.03505921488285745
PT524914685,1.563333,0.1410556471366915,0.06070948516541796
PT624096609,1.479275,0.10440386182761159,0.024635490406606952
