tier_sample,v,kap
PT023805915,0.05638104128175878,0.9788657456400791
PT623583704,0.05449430510380579,0.9788657476773803
PT923966027,0.0483317374797738,0.9788657445802146
PT423620929,0.05929164603274915,0.9788657464816545
PT723805945,0.05049487812577026,0.9788657476729734
PT523799875,0.050039495246329085,0.9788657474336233
PT523085848,0.04681776833458813,0.9788657475935397
PT723767731,0.05194941419411578,0.9788657455774038
PT223767729,0.058196763820395736,0.9788657477774474
PT223476701,0.04451828331210912,0.9788657327336948
PT123769875,0.05681954739623406,0.978865746717666
PT123621789,0.043487037998885425,0.9788657371233644
PT023974753,0.045658760984054754,0.9788657477251937
PT023396456,0.05368559391257393,0.9788657475241642
PT523769910,0.06465947749406242,0.9788657464692857
PT223802666,0.05934063931227223,0.9788657472084402
PT423396430,0.048901576571769134,0.9788657449572395
PT323474933,0.0612904982012631,0.9788657452462223
PT723658015,0.047603252182729705,0.9788657463575724
PT923583699,0.05821678182309256,0.9788657469636485
PT023480600,0.046049409302845554,0.9788657472288496
PT123799896,0.05409088359031814,0.9788657465534994
PT423621858,0.052360300593876634,0.9788657469922257
PT023802667,0.062131448963363374,0.9788657471401809
PT723474950,0.048714333995534875,0.9788657325868266
PT923712082,0.0400648182797707,0.978865747643617
PT624096609,0.05228893165253841,0.9788657477804773
PT733027431,0.048563173956470904,0.9788657477804678
PT524015264,0.04497615333765781,0.9788657475640429
PT623806044,0.055280581052387937,0.9788657470707699
PT424513003,0.046877043943387056,0.9788657476132625
PT524987172,0.0406804619548173,0.9788657468271973
PT633012794,0.03257797066680622,0.978865745088932
PT924854279,0.05090152322092838,0.978865747605953
PT633027441,0.04316988925331863,0.9788657477783872
PT624987181,0.0444290639839354,0.9788657477102369
PT523583719,0.028975643726068305,0.9788657473512816
PT524148448,0.04619930040104281,0.978865747599242
PT724513856,0.04821398686857772,0.9788657476842412
PT224513004,0.0441398962515196,0.9788657477317932
PT224957247,0.04624621052783572,0.9788657476553295
PT624513002,0.04843943573069855,0.9788657476313226
PT424986494,0.04255697050475485,0.978865747717526
PT024513869,0.04710790816573328,0.9788657477136643
PT133012645,0.04294980832390524,0.978865747735988
PT124515292,0.04140427505877896,0.9788657477079057
PT824914674,0.04194722670514486,0.9788657475409145
PT324096615,0.0440536746408296,0.9788657476184905
PT524914685,0.04022174300171509,0.9788657476489977
PT623806020,0.04768076359645147,0.9788657476906957
PT124148445,0.04123614000087164,0.9788657476860662
PT823583722,0.0539898614427927,0.978865747781129
