tier_sample,p_Am,kap_X
PT023396456,4803.268480807294,0.11954537080641364
PT023480600,4761.3800676694755,0.13411452660485756
PT023802667,5045.929600794885,0.11046587753622181
PT023805915,4992.89623068224,0.11809143460222321
PT023974753,4736.181784607326,0.13461413438111747
PT024513869,4834.651440141361,0.13043936434874892
PT123621789,4478.774966035206,0.13472811086427255
PT123769875,4782.511890089634,0.11434926816571608
PT123799896,4950.677462322372,0.1218120754484169
PT124148445,4726.410913137341,0.14285054359690336
PT124515292,4913.325645894378,0.144755468338559
PT133012645,4976.745825024034,0.14372229237580947
PT223476701,4640.065443015685,0.1354344257777238
PT223767729,4842.192489972866,0.11323133112792261
PT223802666,4950.251709543018,0.11312446376714985
PT224513004,4953.236187349039,0.13888127556272278
PT224957247,5041.6935306531595,0.135837364800932
PT323474933,5159.157503659488,0.11326258185588906
PT324096615,4976.712826566845,0.1394766436486657
PT423396430,4710.5856226302,0.12730166025777706
PT423620929,4956.757793998582,0.11330732323390755
PT423621858,4858.557155611263,0.12301962649971468
PT424513003,5021.910470200866,0.1338334683717896
PT424986494,4703.769490942566,0.13843990508365522
PT523085848,4866.59800884431,0.13497157825136658
PT523583719,4830.8855486564535,0.18917669200057668
PT523769910,5128.358111367805,0.1078024414985139
PT523799875,4909.954296735106,0.12856937684411773
PT524015264,5024.682337077991,0.13838414731111787
PT524148448,4869.312745675239,0.1333804840512126
PT524914685,4763.246778134708,0.14644240956256338
PT524987172,4665.7425608179365,0.14228157460465007
PT623583704,4770.466717719915,0.11790954915395521
PT623806020,5070.229556537444,0.13282863292039393
PT623806044,5030.389020903052,0.11799219334527178
PT624096609,5312.275596906489,0.12638731052145685
PT624513002,5009.96071638833,0.13002806944935474
PT624987181,4989.364122909155,0.13843552964410405
PT633012794,4326.794004158301,0.16031466205942063
PT633027441,5080.053780936725,0.14458930802096204
PT723474950,4572.568224585319,0.1251324977704828
PT723658015,4728.3308265965425,0.13033843845771587
PT723767731,4820.054296141756,0.12329582390159627
PT723805945,4690.297879246886,0.12373273547849842
PT724513856,5024.382730074576,0.13123860566001694
PT733027431,4999.034767565112,0.129918988033482
PT823583722,5215.542969795744,0.1225515109025147
PT824914674,4985.0600136463545,0.1458587030261737
PT923583699,4751.089535600062,0.11230197077694262
PT923712082,4796.185083498809,0.14754452919515643
PT923966027,4640.272457228648,0.1272870072456736
PT924854279,5151.794220393353,0.1282099807814503
